title,url,status,property_type,price,address,city,state,bedrooms,bathrooms,size_m2,image_url
Une villa s4 avec piscine à la soukra,https://www.mubawab.tn/fr/a/8116716/une-villa-s4-avec-piscine-%C3%A0-la-soukra,À louer,Villa,4 800 TND,La Soukra,La Soukra,La Soukra,4,2,400,
Un appartement s1 à cité les palmeraies,https://www.mubawab.tn/fr/a/8284183/un-appartement-s1-%C3%A0-cit%C3%A9-les-palmeraies,À louer,Appartement,900 TND,Ain Zaghouan,La Marsa,La Marsa,1,1,60,
Un appartement s3 au lac2 vue lac,https://www.mubawab.tn/fr/a/8268220/un-appartement-s3-au-lac2-vue-lac,À louer,Appartement,3 000 TND,Les Berges Du Lac 2,La Marsa,La Marsa,3,2,120,
Un duplex s3 indépendant à gammarth,https://www.mubawab.tn/fr/a/8272060/un-duplex-s3-ind%C3%A9pendant-%C3%A0-gammarth,À louer,Appartement,2 400 TND,Gammarth,La Marsa,La Marsa,3,2,200,
Résidence Cap Kantaoui _ à 1 min de la Plage,https://www.mubawab.tn/fr/p/3854/r%C3%A9sidence-cap-kantaoui-%C3%A0-1-min-de-la-plage,À louer,Autre, TND,El Kantaoui,Hammam Sousse,Hammam Sousse,0,0,Non spécifié,
Un appartement s1 aux jardins de carthage,https://www.mubawab.tn/fr/a/8121829/un-appartement-s1-aux-jardins-de-carthage,À louer,Appartement,1 600 TND,Les Jardins de Carthage,Le Kram,Le Kram,1,1,80,
Bureaux à louer à Sahloul. Surface de 66 m²,https://www.mubawab.tn/fr/pa/8234719/bureaux-%C3%A0-louer-%C3%A0-sahloul-surface-de-66-m%C2%B2,À louer,Bureau,À consulter,Sahloul,Sahloul,Sahloul,0,1,66,
RDC de villa meublé Zen à louer à Salambo,https://www.mubawab.tn/fr/a/8233894/rdc-de-villa-meubl%C3%A9-zen-%C3%A0-louer-%C3%A0-salambo,À louer,Villa,2 500 TND,Salambo,Carthage,Carthage,3,2,160,
Villa meublée avec piscine a gammarth golf,https://www.mubawab.tn/fr/a/8251951/villa-meubl%C3%A9e-avec-piscine-a-gammarth-golf,À louer,Villa,9 500 TND,Gammarth,La Marsa,La Marsa,4,4,600,
Location appartement S1 les jardins de Carthage,https://www.mubawab.tn/fr/a/8215260/location-appartement-s1-les-jardins-de-carthage,À louer,Appartement,1 200 TND,Les Jardins de Carthage,Le Kram,Le Kram,1,1,70,
Location appartement S2 El Maalga la Marsa,https://www.mubawab.tn/fr/a/8274998/location-appartement-s2-el-maalga-la-marsa,À louer,Appartement,1 500 TND,Cité Les Pins,La Marsa,La Marsa,2,2,100,
A louer s1 neuf à bhar lazreg,https://www.mubawab.tn/fr/a/8281215/a-louer-s1-neuf-%C3%A0-bhar-lazreg,À louer,Appartement,1 300 TND,Bhar Lazreg,La Marsa,La Marsa,1,1,65,
A louer un S1 aux jardins de Carthage,https://www.mubawab.tn/fr/a/8122042/a-louer-un-s1-aux-jardins-de-carthage,À louer,Appartement,1 500 TND,Les Jardins de Carthage,Le Kram,Le Kram,1,1,65,
